,real,previsao,game_id
2155,1,1,2156
2156,1,1,2157
2157,2,2,2158
2158,1,1,2159
2159,1,1,2160
2160,0,1,2161
2161,1,1,2162
2162,1,1,2163
2163,1,1,2164
2164,2,1,2165
2165,2,2,2166
2166,0,1,2167
2167,0,1,2168
2168,2,1,2169
2169,0,1,2170
2170,1,1,2171
2171,1,1,2172
2172,2,2,2173
2173,2,2,2174
2174,1,1,2175
2175,0,1,2176
2176,1,1,2177
2177,2,2,2178
2178,0,1,2179
2179,2,2,2180
2180,1,1,2181
2181,2,1,2182
2182,0,1,2183
2183,0,2,2184
2184,1,1,2185
2185,1,1,2186
2186,2,1,2187
2187,1,1,2188
2188,0,0,2189
2189,0,1,2190
2190,1,1,2191
2191,1,1,2192
2192,2,1,2193
2193,2,1,2194
2194,1,1,2195
2195,1,1,2196
2196,1,1,2197
2197,2,1,2198
2198,1,1,2199
2199,1,1,2200
2200,0,0,2201
2201,0,2,2202
2202,0,2,2203
2203,0,1,2204
2204,1,1,2205
2205,2,1,2206
2206,0,1,2207
2207,0,1,2208
2208,0,1,2209
2209,1,1,2210
2210,2,2,2211
2211,2,1,2212
2212,1,1,2213
2213,1,1,2214
2214,1,1,2215
2215,1,1,2216
2216,1,1,2217
2217,0,1,2218
2218,0,1,2219
2219,2,1,2220
2220,2,2,2221
2221,2,2,2222
2222,2,1,2223
2223,1,1,2224
2224,2,1,2225
2225,1,1,2226
2226,1,1,2227
2227,0,1,2228
2228,0,1,2229
2229,2,2,2230
2230,1,1,2231
2231,1,1,2232
2232,0,1,2233
2233,1,1,2234
2234,0,1,2235
2235,0,1,2236
2236,0,1,2237
2237,1,1,2238
2238,1,1,2239
2239,1,1,2240
2240,0,1,2241
2241,1,1,2242
2242,1,1,2243
2243,0,1,2244
2244,2,1,2245
2245,1,1,2246
2246,1,1,2247
2247,1,1,2248
2248,1,1,2249
2249,0,0,2250
2250,1,1,2251
2251,0,2,2252
2252,1,0,2253
2253,0,1,2254
2254,1,1,2255
2255,1,1,2256
2256,1,1,2257
2257,1,1,2258
2258,1,2,2259
2259,2,1,2260
2260,1,1,2261
2261,0,1,2262
2262,2,1,2263
2263,2,2,2264
2264,0,1,2265
2265,2,1,2266
2266,2,2,2267
2267,2,1,2268
2268,1,1,2269
2269,0,0,2270
2270,1,1,2271
2271,1,1,2272
2272,0,1,2273
2273,1,1,2274
2274,0,0,2275
2275,0,0,2276
2276,1,1,2277
2277,1,1,2278
2278,2,1,2279
